Longitude,Latitude,Timestamp,Vehicle Type,Distance,Toll
72.943151,19.14144,2025-01-01 13:27:24,Multi-Axle Trucks and Machinery Vehicles,10.000447977506372,230.01
72.943161,19.14145,2025-01-01 13:27:27,Three-Axle Trucks,10.001975089846777,173.03
72.943171,19.14146,2025-01-01 13:27:30,Two-Axle Trucks,10.003502202144189,73.03
72.94318100000001,19.14147,2025-01-01 13:27:33,Buses,10.005029314400012,100.05
72.94319100000001,19.14148,2025-01-01 13:27:36,Multi-Axle Trucks and Machinery Vehicles,10.006556426611782,230.15
72.943201,19.14149,2025-01-01 13:27:39,Minibuses and Tempos,10.008083538779506,53.04
72.943211,19.1415,2025-01-01 13:27:42,Three-Axle Trucks,10.009610650906348,173.17
72.94322100000001,19.14151,2025-01-01 13:27:45,Two-Axle Trucks,10.011137762990195,73.08
72.94323100000001,19.14152,2025-01-01 13:27:48,Buses,10.012664875031403,100.13
72.943241,19.14153,2025-01-01 13:27:51,Buses,10.01419198702856,100.14
72.943251,19.14154,2025-01-01 13:27:54,Minibuses and Tempos,10.015719098983777,53.08
72.943261,19.14155,2025-01-01 13:27:57,Minibuses and Tempos,10.017246210897063,53.09
72.94327100000001,19.14156,2025-01-01 13:28:00,Minibuses and Tempos,10.018773322766648,53.1
72.94328100000001,19.14157,2025-01-01 13:28:03,Two-Axle Trucks,10.020300434593592,73.15
72.943291,19.14158,2025-01-01 13:28:06,Cars and Jeeps,10.02182754637719,34.07
72.943301,19.14159,2025-01-01 13:28:09,Multi-Axle Trucks and Machinery Vehicles,10.0233546581185,230.54
72.94331100000001,19.1416,2025-01-01 13:28:12,Three-Axle Trucks,10.02488176981646,173.43
72.94332100000001,19.14161,2025-01-01 13:28:15,Three-Axle Trucks,10.026408881473548,173.46
72.943331,19.14162,2025-01-01 13:28:18,Multi-Axle Trucks and Machinery Vehicles,10.02793599308482,230.64
72.943341,19.14163,2025-01-01 13:28:21,Buses,10.029463104655571,100.29
72.943351,19.14164,2025-01-01 13:28:24,Three-Axle Trucks,10.030990216183325,173.54
72.94336100000001,19.14165,2025-01-01 13:28:27,Minibuses and Tempos,10.032517327667735,53.17
72.94337100000001,19.14166,2025-01-01 13:28:30,Buses,10.034044439109506,100.34
72.943381,19.14167,2025-01-01 13:28:33,Two-Axle Trucks,10.035571550507225,73.26
72.943391,19.14168,2025-01-01 13:28:36,Multi-Axle Trucks and Machinery Vehicles,10.037098661864066,230.85
72.94340100000001,19.14169,2025-01-01 13:28:39,Cars and Jeeps,10.038625773177563,34.13
72.94341100000001,19.1417,2025-01-01 13:28:42,Multi-Axle Trucks and Machinery Vehicles,10.040152884448775,230.92
72.943421,19.14171,2025-01-01 13:28:45,Minibuses and Tempos,10.041679995675581,53.22
72.943431,19.14172,2025-01-01 13:28:48,Two-Axle Trucks,10.043207106860454,73.32
72.943441,19.14173,2025-01-01 13:28:51,Cars and Jeeps,10.044734218003041,34.15
72.94345100000001,19.14174,2025-01-01 13:28:54,Cars and Jeeps,10.046261329102283,34.16
72.94346100000001,19.14175,2025-01-01 13:28:57,Two-Axle Trucks,10.047788440159236,73.35
72.943471,19.14176,2025-01-01 13:29:00,Buses,10.049315551172848,100.49
72.943481,19.14177,2025-01-01 13:29:03,Multi-Axle Trucks and Machinery Vehicles,10.050842662143468,231.17
72.94349100000001,19.14178,2025-01-01 13:29:06,Minibuses and Tempos,10.052369773072506,53.28
72.94350100000001,19.14179,2025-01-01 13:29:09,Three-Axle Trucks,10.053896883958199,173.93
72.943511,19.1418,2025-01-01 13:29:12,Three-Axle Trucks,10.055423994799844,173.96
72.943521,19.14181,2025-01-01 13:29:15,Multi-Axle Trucks and Machinery Vehicles,10.056951105599552,231.31
72.94353100000001,19.14182,2025-01-01 13:29:18,Buses,10.058478216356978,100.58
72.94354100000001,19.14183,2025-01-01 13:29:21,Cars and Jeeps,10.060005327071412,34.2
