Longitude,Latitude,Timestamp
72.877671,19.07596,2025-01-01 08:00:00
72.87768100000001,19.075969999999998,2025-01-01 08:00:03
72.87769100000001,19.075979999999998,2025-01-01 08:00:06
72.877701,19.075989999999997,2025-01-01 08:00:09
72.877711,19.075999999999997,2025-01-01 08:00:12
72.87772100000001,19.07601,2025-01-01 08:00:15
72.87773100000001,19.07602,2025-01-01 08:00:18
72.877741,19.07603,2025-01-01 08:00:21
72.877751,19.07604,2025-01-01 08:00:24
72.877761,19.07605,2025-01-01 08:00:27
72.87777100000001,19.07606,2025-01-01 08:00:30
72.87778100000001,19.076069999999998,2025-01-01 08:00:33
72.877791,19.076079999999997,2025-01-01 08:00:36
72.877801,19.076089999999997,2025-01-01 08:00:39
72.87781100000001,19.076099999999997,2025-01-01 08:00:42
72.87782100000001,19.07611,2025-01-01 08:00:45
72.877831,19.07612,2025-01-01 08:00:48
72.877841,19.07613,2025-01-01 08:00:51
72.877851,19.07614,2025-01-01 08:00:54
72.87786100000001,19.07615,2025-01-01 08:00:57
72.87787100000001,19.076159999999998,2025-01-01 08:01:00
72.877881,19.076169999999998,2025-01-01 08:01:03
72.877891,19.076179999999997,2025-01-01 08:01:06
72.87790100000001,19.076189999999997,2025-01-01 08:01:09
72.87791100000001,19.0762,2025-01-01 08:01:12
72.877921,19.07621,2025-01-01 08:01:15
72.877931,19.07622,2025-01-01 08:01:18
72.877941,19.07623,2025-01-01 08:01:21
72.87795100000001,19.07624,2025-01-01 08:01:24
72.87796100000001,19.076249999999998,2025-01-01 08:01:27
72.877971,19.076259999999998,2025-01-01 08:01:30
72.877981,19.076269999999997,2025-01-01 08:01:33
72.87799100000001,19.076279999999997,2025-01-01 08:01:36
72.87800100000001,19.07629,2025-01-01 08:01:39
72.878011,19.0763,2025-01-01 08:01:42
72.878021,19.07631,2025-01-01 08:01:45
72.87803100000001,19.07632,2025-01-01 08:01:48
72.87804100000001,19.07633,2025-01-01 08:01:51
72.87805100000001,19.07634,2025-01-01 08:01:54
72.878061,19.076349999999998,2025-01-01 08:01:57
72.878071,19.076359999999998,2025-01-01 08:02:00
72.87808100000001,19.076369999999997,2025-01-01 08:02:03
72.87809100000001,19.076379999999997,2025-01-01 08:02:06
72.878101,19.07639,2025-01-01 08:02:09
72.878111,19.0764,2025-01-01 08:02:12
72.87812100000001,19.07641,2025-01-01 08:02:15
72.87813100000001,19.07642,2025-01-01 08:02:18
72.87814100000001,19.07643,2025-01-01 08:02:21
72.878151,19.076439999999998,2025-01-01 08:02:24
72.878161,19.076449999999998,2025-01-01 08:02:27
72.87817100000001,19.076459999999997,2025-01-01 08:02:30
